,Solvent,Miscible with Water,Solvent_InChIKey,Solubility Prediction
0,Acetic Acid,Miscible,QTBSBXVTEAMEQO-UHFFFAOYSA-N,0.672139253
1,Acetone,Miscible,CSCPPACGZOOCGX-UHFFFAOYSA-N,0.781431122
2,Acetonitrile,Miscible,WEVYAHXRMPXWCK-UHFFFAOYSA-N,0.619907149
3,Benzene,Immiscible,UHOVQNZJYSORNB-UHFFFAOYSA-N,-2.253661021
4,Butanol,Immiscible,LRHPLDYGYMQRHN-UHFFFAOYSA-N,0.068266072
5,Butyl Acetate,Immiscible,DKPFZGUDAPQIHT-UHFFFAOYSA-N,-0.971132549
6,Carbon Tetrachloride,Immiscible,VZGDMQKNWNREIO-UHFFFAOYSA-N,-3.047615908
7,Chloroform,Immiscible,HEDRZPFGACZZDS-UHFFFAOYSA-N,-1.763889649
8,Cyclohexane,Immiscible,XDTMQSROBMDMFD-UHFFFAOYSA-N,-3.5158356
9,Dichloromethane,Immiscible,YMWUJEATGCHHMB-UHFFFAOYSA-N,-1.263905824
10,Dichloromethane,Immiscible,YMWUJEATGCHHMB-UHFFFAOYSA-N,-1.263905824
11,Diethyl Ether,Immiscible,RTZKZFJDLAIYFH-UHFFFAOYSA-N,-0.149392343
12,Dimethylformamide,Miscible,ZMXDDKWLCZADIW-UHFFFAOYSA-N,0.793551829
13,Dimethyl Sulfoxide,Miscible,IAZDPXIOMUYVGZ-UHFFFAOYSA-N,0.191121598
14,Dioxane,Miscible,RYHBNJHYFVUHQT-UHFFFAOYSA-N,0.766376988
15,Ethanol,Miscible,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,1.124886709
16,Ethyl Acetate,Immiscible,XEKOWRVHYACXOJ-UHFFFAOYSA-N,0.022867133
17,Heptane,Immiscible,IMNFDUFMRHMDMM-UHFFFAOYSA-N,-4.446706989
18,Hexane,Immiscible,VLKZOEOYAKHREP-UHFFFAOYSA-N,-3.771396284
19,Isopropanol,Miscible,KFZMGEQAYNKOFK-UHFFFAOYSA-N,0.82285752
20,Methanol,Miscible,OKKJLVBELUTLKV-UHFFFAOYSA-N,1.089289003
21,Methyl Ethyl Ketone,Immiscible,ZWEHNKRNPOVVGH-UHFFFAOYSA-N,0.108709391
22,Methyl Tert-Butyl Ether,Immiscible,BZLVMXJERCGZMT-UHFFFAOYSA-N,-0.615061235
23,1-Propanol,Miscible,BDERNNFJNOPAEC-UHFFFAOYSA-N,0.941803045
24,Tetrahydrofuran,Miscible,WYURNTSHIVDZCO-UHFFFAOYSA-N,0.34611036
25,Toluene,Immiscible,YXFVVABEGXRONW-UHFFFAOYSA-N,-2.539611017
